###############################################
Prominent emojis
###############################################


###############################################
POLY
###############################################
http://localhost/distance.php?index=poly

n	id	emoji	name	closeness
36	365	😩	weary face	0.67686
37	17	✨	sparkles	0.67662
38	202	💩	pile of poo	0.67662
39	827	🏴󠁧󠁢󠁳󠁣󠁴󠁿	flag: Scotland	0.67639
40	117	👍🏻	thumbs up: light skin tone	0.67615
41	190	😃	grinning face with big eyes	0.67615
42	323	👊	oncoming fist	0.67569
43	111	💥	collision	0.67569
44	175	🙃	upside-down face	0.67498
45	672	🔫	water pistol	0.67475
46	216	💔	broken heart	0.67382
47	53	😬	grimacing face	0.67358
48	199	😘	face blowing a kiss	0.67358
49	570	🍾	bottle with popping cork	0.67312
50	1515	💷	pound banknote	0.67265

###############################################
UKRAINE
###############################################
http://localhost/distance.php?index=ukraine

n	id	emoji	name	closeness
1	1583	🇺🇦	flag: Ukraine	0.82933
2	1203	🇷🇺	flag: Russia	0.79009
3	11	❤️	red heart	0.77467
4	68	🙏	folded hands	0.77410
5	49	🔥	fire	0.75738
6	12	💙	blue heart	0.74955
7	154	👇	backhand index pointing down	0.74478
8	29	🇺🇸	flag: United States	0.74085
9	38	👍	thumbs up	0.73773
10	216	💔	broken heart	0.73644
11	214	💪	flexed biceps	0.73618
12	10	❤	red heart	0.73541
13	464	🙏🏻	folded hands: light skin tone	0.73464
14	475	🕊	dove	0.72702
15	39	♥️	heart suit	0.72702
16	511	🌍	globe showing Europe-Africa	0.72452
17	9	😂	face with tears of joy	0.72327
18	8	😭	loudly crying face	0.72327
19	66	🚨	police car light	0.72302
20	57	💯	hundred points	0.72278
21	1314	🇪🇺	flag: European Union	0.72228
22	234	😢	crying face	0.72178
23	452	🚀	rocket	0.72104
24	111	💥	collision	0.72030
25	166	💛	yellow heart	0.72005
26	349	✌️	victory hand	0.71858
27	218	👏	clapping hands	0.71784
28	221	✊	raised fist	0.71687
29	198	❗	red exclamation mark	0.71638
30	629	🤝	handshake	0.71540
31	852	☮️	peace symbol	0.71395
32	22	🤔	thinking face	0.71395
33	26	🤣	rolling on the floor laughing	0.71322
34	17	✨	sparkles	0.71225
35	268	⚡	high voltage	0.71177
36	15	👀	eyes	0.71177
37	63	🥺	pleading face	0.71105
38	1064	🕊️	dove	0.71105
39	185	🌻	sunflower	0.70937
40	23	😡	pouting face	0.70913
41	594	🌎	globe showing Americas	0.70889
42	13	😎	smiling face with sunglasses	0.70889
43	73	🙏🏼	folded hands: medium-light skin tone	0.70794
44	67	‼️	double exclamation mark	0.70580
45	150	😱	face screaming in fear	0.70321
46	92	🙌	raising hands	0.70227
47	244	🤡	clown face	0.70087
48	70	😔	pensive face	0.69970
49	531	🇮🇳	flag: India	0.69877
50	2448	🪖	military helmet	0.69877

###############################################
US2020
###############################################
http://localhost/distance.php?index=us2020

n	id	emoji	name	closeness
1	29	🇺🇸	flag: United States	0.96959
2	11	❤️	red heart	0.95774
3	9	😂	face with tears of joy	0.95596
4	68	🙏	folded hands	0.95368
5	12	💙	blue heart	0.95166
6	14	😷	face with medical mask	0.95091
7	38	👍	thumbs up	0.95066
8	49	🔥	fire	0.95066
9	57	💯	hundred points	0.94941
10	17	✨	sparkles	0.94916
11	26	🤣	rolling on the floor laughing	0.94916
12	244	🤡	clown face	0.94493
13	95	🌊	water wave	0.94493
14	15	👀	eyes	0.94493
15	114	💕	two hearts	0.94443
16	111	💥	collision	0.94344
17	13	😎	smiling face with sunglasses	0.94319
18	635	🗽	Statue of Liberty	0.94295
19	218	👏	clapping hands	0.94270
20	39	♥️	heart suit	0.94270
21	214	💪	flexed biceps	0.94245
22	65	😁	beaming face with smiling eyes	0.94147
23	86	🇺🇲	flag: U.S. Outlying Islands	0.94147
24	10	❤	red heart	0.94073
25	94	🗳	ballot box with ballot	0.94049
26	36	🥰	smiling face with hearts	0.94049
27	74	😍	smiling face with heart-eyes	0.93975
28	22	🤔	thinking face	0.93926
29	67	‼️	double exclamation mark	0.93901
30	482	🦠	microbe	0.93877
31	77	👑	crown	0.93877
32	154	👇	backhand index pointing down	0.93853
33	202	💩	pile of poo	0.93804
34	54	🙄	face with rolling eyes	0.93755
35	219	🎉	party popper	0.93755
36	359	💰	money bag	0.93706
37	199	😘	face blowing a kiss	0.93682
38	153	🌈	rainbow	0.93682
39	464	🙏🏻	folded hands: light skin tone	0.93657
40	90	😉	winking face	0.93657
41	275	🥳	partying face	0.93609
42	429	😇	smiling face with halo	0.93609
43	313	🤪	zany face	0.93560
44	55	🤗	hugging face	0.93536
45	594	🌎	globe showing Americas	0.93536
46	8	😭	loudly crying face	0.93512
47	418	✝️	latin cross	0.93487
48	18	😊	smiling face with smiling eyes	0.93487
49	173	💚	green heart	0.93463
50	350	😀	grinning face	0.93439

###############################################
COVID
###############################################
http://localhost/distance.php?index=covid

n	id	emoji	name	closeness
1	14	😷	face with medical mask	0.97206
2	482	🦠	microbe	0.96862
3	11	❤️	red heart	0.96764
4	9	😂	face with tears of joy	0.96568
5	17	✨	sparkles	0.96447
6	38	👍	thumbs up	0.96228
7	49	🔥	fire	0.96228
8	114	💕	two hearts	0.96180
9	26	🤣	rolling on the floor laughing	0.96180
10	12	💙	blue heart	0.96180
11	214	💪	flexed biceps	0.96107
12	68	🙏	folded hands	0.96011
13	154	👇	backhand index pointing down	0.95963
14	29	🇺🇸	flag: United States	0.95939
15	10	❤	red heart	0.95939
16	579	💉	syringe	0.95939
17	8	😭	loudly crying face	0.95915
18	65	😁	beaming face with smiling eyes	0.95891
19	18	😊	smiling face with smiling eyes	0.95867
20	22	🤔	thinking face	0.95843
21	74	😍	smiling face with heart-eyes	0.95843
22	218	👏	clapping hands	0.95843
23	511	🌍	globe showing Europe-Africa	0.95795
24	39	♥️	heart suit	0.95771
25	103	💜	purple heart	0.95747
26	219	🎉	party popper	0.95747
27	173	💚	green heart	0.95723
28	153	🌈	rainbow	0.95699
29	275	🥳	partying face	0.95699
30	36	🥰	smiling face with hearts	0.95699
31	13	😎	smiling face with sunglasses	0.95699
32	57	💯	hundred points	0.95651
33	410	🚫	prohibited	0.95579
34	159	🖤	black heart	0.95579
35	55	🤗	hugging face	0.95556
36	19	🤩	star-struck	0.95556
37	90	😉	winking face	0.95532
38	964	⚽	soccer ball	0.95508
39	15	👀	eyes	0.95484
40	92	🙌	raising hands	0.95460
41	389	✅	check mark button	0.95436
42	243	🎶	musical notes	0.95436
43	66	🚨	police car light	0.95436
44	46	😅	grinning face with sweat	0.95436
45	56	💖	sparkling heart	0.95436
46	111	💥	collision	0.95413
47	629	🤝	handshake	0.95413
48	216	💔	broken heart	0.95413
49	359	💰	money bag	0.95341
50	166	💛	yellow heart	0.95341

###############################################
UKRAINEWAR
###############################################
http://localhost/distance.php?index=ukrainewar

n	id	emoji	name	closeness
1	1583	🇺🇦	flag: Ukraine	0.89418
2	1203	🇷🇺	flag: Russia	0.86594
3	11	❤️	red heart	0.85410
4	68	🙏	folded hands	0.84897
5	49	🔥	fire	0.84657
6	29	🇺🇸	flag: United States	0.84258
7	12	💙	blue heart	0.83916
8	214	💪	flexed biceps	0.83086
9	111	💥	collision	0.83086
10	154	👇	backhand index pointing down	0.83086
11	38	👍	thumbs up	0.82702
12	268	⚡	high voltage	0.82601
13	185	🌻	sunflower	0.82297
14	1314	🇪🇺	flag: European Union	0.82046
15	17	✨	sparkles	0.82021
16	452	🚀	rocket	0.81971
17	218	👏	clapping hands	0.81946
18	511	🌍	globe showing Europe-Africa	0.81796
19	166	💛	yellow heart	0.81796
20	67	‼️	double exclamation mark	0.81647
21	216	💔	broken heart	0.81647
22	9	😂	face with tears of joy	0.81523
23	22	🤔	thinking face	0.81375
24	43	🇬🇧	flag: United Kingdom	0.81227
25	10	❤	red heart	0.81203
26	26	🤣	rolling on the floor laughing	0.81105
27	57	💯	hundred points	0.81031
28	13	😎	smiling face with sunglasses	0.80983
29	39	♥️	heart suit	0.80885
30	349	✌️	victory hand	0.80861
31	198	❗	red exclamation mark	0.80836
32	475	🕊	dove	0.80836
33	629	🤝	handshake	0.80812
34	35	👉	backhand index pointing right	0.80642
35	221	✊	raised fist	0.80594
36	594	🌎	globe showing Americas	0.80497
37	464	🙏🏻	folded hands: light skin tone	0.80329
38	90	😉	winking face	0.80137
39	8	😭	loudly crying face	0.80137
40	66	🚨	police car light	0.80137
41	234	😢	crying face	0.80113
42	15	👀	eyes	0.80066
43	244	🤡	clown face	0.79970
44	852	☮️	peace symbol	0.79851
45	943	🇫🇷	flag: France	0.79780
46	1064	🕊️	dove	0.79780
47	1091	🇩🇪	flag: Germany	0.79662
48	74	😍	smiling face with heart-eyes	0.79568
49	2448	🪖	military helmet	0.79521
50	36	🥰	smiling face with hearts	0.79450

###############################################
BRASIL
###############################################
http://localhost/distance.php?index=brasil

n	id	emoji	name	closeness
1	1210	🇧🇷	flag: Brazil	0.85327
2	11	❤️	red heart	0.81185
3	49	🔥	fire	0.79717
4	68	🙏	folded hands	0.78862
5	218	👏	clapping hands	0.78024
6	17	✨	sparkles	0.77874
7	13	😎	smiling face with sunglasses	0.77427
8	26	🤣	rolling on the floor laughing	0.77328
9	214	💪	flexed biceps	0.77303
10	9	😂	face with tears of joy	0.77303
11	1026	🇲🇽	flag: Mexico	0.76813
12	38	👍	thumbs up	0.76765
13	15	👀	eyes	0.76692
14	173	💚	green heart	0.76668
15	244	🤡	clown face	0.76619
16	36	🥰	smiling face with hearts	0.76186
17	74	😍	smiling face with heart-eyes	0.76186
18	12	💙	blue heart	0.76114
19	92	🙌	raising hands	0.76114
20	39	♥️	heart suit	0.75947
21	388	🚩	triangular flag	0.75924
22	35	👉	backhand index pointing right	0.75592
23	111	💥	collision	0.75545
24	629	🤝	handshake	0.75498
25	154	👇	backhand index pointing down	0.75498
26	464	🙏🏻	folded hands: light skin tone	0.75334
27	611	🇻🇪	flag: Venezuela	0.75264
28	1561	🇦🇷	flag: Argentina	0.75194
29	22	🤔	thinking face	0.75147
30	323	👊	oncoming fist	0.75008
31	10	❤	red heart	0.74961
32	964	⚽	soccer ball	0.74938
33	389	✅	check mark button	0.74892
34	29	🇺🇸	flag: United States	0.74684
35	8	😭	loudly crying face	0.74684
36	520	👏🏻	clapping hands: light skin tone	0.74661
37	199	😘	face blowing a kiss	0.74615
38	90	😉	winking face	0.74478
39	221	✊	raised fist	0.74478
40	66	🚨	police car light	0.74341
41	207	🤮	face vomiting	0.74250
42	1439	🇨🇴	flag: Colombia	0.74250
43	65	😁	beaming face with smiling eyes	0.74068
44	470	🌹	rose	0.74023
45	390	🗣️	speaking head	0.73820
46	23	😡	pouting face	0.73820
47	359	💰	money bag	0.73798
48	19	🤩	star-struck	0.73731
49	202	💩	pile of poo	0.73641
50	349	✌️	victory hand	0.73574



