############################################################
################ MySQL queries and results #################
############################################################

SELECT emo_emoji, emo_name, emp_count FROM emoji JOIN emoji_project ON emo_id=emp_emoid JOIN project ON emp_proid=pro_id WHERE pro_name='poly' ORDER BY emp_count DESC LIMIT 50;
+-----------+--------------------------------+-----------+
| emo_emoji | emo_name                       | emp_count |
| 💛         | yellow heart                           |      8859 |
| 🚩         | triangular flag                        |      7945 |
| 👀         | eyes                                   |      7929 |
| 🇲🇽        | flag: Mexico                           |      7737 |
| 😎         | smiling face with sunglasses           |      7637 |
| 😉         | winking face                           |      7629 |
| 🤭         | face with hand over mouth              |      7591 |
| 😱         | face screaming in fear                 |      7539 |
| 😔         | pensive face                           |      7362 |
| 😁         | beaming face with smiling eyes         |      7167 |
| 😢         | crying face                            |      6965 |
| 🇻🇪        | flag: Venezuela                        |      6866 |
| 🇺🇸        | flag: United States                    |      6753 |
| ❤         | red heart                              |      6728 |
| ✅         | check mark button                      |      6480 |
| 🥺         | pleading face                          |      6261 |
| 🗣️        | speaking head                          |      5915 |
| ✨         | sparkles                               |      5761 |
| 💙         | blue heart                             |      5646 |
| 👏🏼        | clapping hands: medium-light skin tone |      5466 |
| 👊         | oncoming fist                          |      5321 |
| ➡️        | right arrow                            |      5223 |
+-----------+----------------------------------------+-----------+
50 rows in set (0,052 sec)


